note_id,client_id,tags,products_mentioned,brands_mentioned,locations,events,professions,budget_range,budget_min,budget_max,budget_confidence,budget_amount,client_status,allergies,allergy_severity,dietary,relationship_context,key_dates,occasions,urgency,event_date,days_until_event,urgency_level,products,entities,implicit_signals,risk_flags,processing_notes,profession,processing_tier,confidence,processing_time_ms,rgpd_flag,error,reasoning,model_name,cost,age,gender,tier,ID,from_cache,escalation_failed
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_101,True,
,,"['gift_for_self', 'gluten_free', 'vegan', 'shopping_with_spouse', 'gift_for_nieces_nephews', 'travel_frequent']",[],[],['Nepal'],['private viewing'],[],10K-20K,14000.0,21000.0,inferred,,first_visit,['gluten_allergy'],high,"['vegan', 'gluten_free']","{'gift_for': ['self', 'nieces_nephews'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],,2026-07-01,153.0,,[],{},{},{},[],medical_physician,tier2,0.85,0.0,False,,"First visit with high potential, multiple gift contexts, clear dietary restrictions, and a specific budget range mentioned as flexible. The anniversary date is inferred based on typical annual patterns.",mistral-medium-latest,0.0,,,2,CA_102,False,'coroutine' object is not iterable
,,[],[],[],[],[],[],,,,,,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.6,1.1830329895019531,False,,,,0.0,,female,1,CA_103,True,
,,"['travel_frequent', 'gift_for_genitori']",[],[],"['San Francisco', 'Tokyo', 'Singapore']",[],[],10K+,10000.0,,inferred,,new,['penicillina_allergy'],medium,[],"{'gift_for': ['genitori'], 'shopping_with': []}",[],['anniversario_genitori'],,,,,[],{},{},{},[],tech_executive,tier2,0.85,0.0,False,,"Nuovo cliente con alto potenziale, informazioni sulla professione e sugli interessi, budget aperto ma non esplicito, allergia segnalata",llama-3.3-70b-versatile,0.0,,,2,CA_104,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_105,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_106,True,
,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,'coroutine' object is not iterable,,,,,,3,CA_107,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_108,True,
,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,'coroutine' object is not iterable,,,,,,3,CA_109,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_110,True,
